Epoch: 1/5000 | Train loss: 6.2023 | Val loss: 6.1993 | Best loss: 6.1993 | Time for epoch: 0:00:05 | ETA: 7:39:17
Epoch: 2/5000 | Train loss: 6.2052 | Val loss: 6.2092 | Best loss: 6.1993 | Time for epoch: 0:00:05 | ETA: 7:25:56
Epoch: 3/5000 | Train loss: 6.1999 | Val loss: 6.2100 | Best loss: 6.1993 | Time for epoch: 0:00:05 | ETA: 7:22:27
Epoch: 4/5000 | Train loss: 6.1994 | Val loss: 6.1895 | Best loss: 6.1895 | Time for epoch: 0:00:05 | ETA: 7:21:46
Epoch: 5/5000 | Train loss: 6.2002 | Val loss: 6.2021 | Best loss: 6.1895 | Time for epoch: 0:00:05 | ETA: 7:20:11
Epoch: 6/5000 | Train loss: 6.1976 | Val loss: 6.2079 | Best loss: 6.1895 | Time for epoch: 0:00:05 | ETA: 7:19:30
Epoch: 7/5000 | Train loss: 6.1938 | Val loss: 6.1984 | Best loss: 6.1895 | Time for epoch: 0:00:05 | ETA: 7:20:15
Epoch: 8/5000 | Train loss: 6.1877 | Val loss: 6.1896 | Best loss: 6.1895 | Time for epoch: 0:00:05 | ETA: 7:20:24
Epoch: 9/5000 | Train loss: 6.1772 | Val loss: 6.1486 | Best loss: 6.1486 | Time for epoch: 0:00:05 | ETA: 7:21:00
Epoch: 10/5000 | Train loss: 6.0629 | Val loss: 5.9864 | Best loss: 5.9864 | Time for epoch: 0:00:05 | ETA: 7:20:32
Epoch: 11/5000 | Train loss: 5.9858 | Val loss: 5.9462 | Best loss: 5.9462 | Time for epoch: 0:00:05 | ETA: 7:18:51
Epoch: 12/5000 | Train loss: 5.9652 | Val loss: 5.9506 | Best loss: 5.9462 | Time for epoch: 0:00:05 | ETA: 7:19:10
Epoch: 13/5000 | Train loss: 5.9517 | Val loss: 5.9536 | Best loss: 5.9462 | Time for epoch: 0:00:05 | ETA: 7:18:18
Epoch: 14/5000 | Train loss: 5.9448 | Val loss: 5.9506 | Best loss: 5.9462 | Time for epoch: 0:00:05 | ETA: 7:20:25
Epoch: 15/5000 | Train loss: 5.9424 | Val loss: 5.9451 | Best loss: 5.9451 | Time for epoch: 0:00:05 | ETA: 7:21:11
Epoch: 16/5000 | Train loss: 5.9367 | Val loss: 5.9385 | Best loss: 5.9385 | Time for epoch: 0:00:05 | ETA: 7:20:27
Epoch: 17/5000 | Train loss: 5.9352 | Val loss: 5.9203 | Best loss: 5.9203 | Time for epoch: 0:00:05 | ETA: 7:19:57
Epoch: 18/5000 | Train loss: 5.9328 | Val loss: 5.9207 | Best loss: 5.9203 | Time for epoch: 0:00:05 | ETA: 7:19:53
Epoch: 19/5000 | Train loss: 5.9284 | Val loss: 5.9371 | Best loss: 5.9203 | Time for epoch: 0:00:05 | ETA: 7:19:44
Epoch: 20/5000 | Train loss: 5.9263 | Val loss: 5.9358 | Best loss: 5.9203 | Time for epoch: 0:00:05 | ETA: 7:19:02
Epoch: 21/5000 | Train loss: 5.9211 | Val loss: 5.9245 | Best loss: 5.9203 | Time for epoch: 0:00:05 | ETA: 7:18:20
Epoch: 22/5000 | Train loss: 5.9180 | Val loss: 5.9164 | Best loss: 5.9164 | Time for epoch: 0:00:05 | ETA: 7:18:09
Epoch: 23/5000 | Train loss: 5.9137 | Val loss: 5.9146 | Best loss: 5.9146 | Time for epoch: 0:00:05 | ETA: 7:17:57
Epoch: 24/5000 | Train loss: 5.9075 | Val loss: 5.9080 | Best loss: 5.9080 | Time for epoch: 0:00:05 | ETA: 7:17:22
Epoch: 25/5000 | Train loss: 5.9039 | Val loss: 5.9139 | Best loss: 5.9080 | Time for epoch: 0:00:05 | ETA: 7:16:41
Epoch: 26/5000 | Train loss: 5.9012 | Val loss: 5.9056 | Best loss: 5.9056 | Time for epoch: 0:00:05 | ETA: 7:16:16
Epoch: 27/5000 | Train loss: 5.9023 | Val loss: 5.8935 | Best loss: 5.8935 | Time for epoch: 0:00:05 | ETA: 7:15:26
Epoch: 28/5000 | Train loss: 5.9040 | Val loss: 5.9115 | Best loss: 5.8935 | Time for epoch: 0:00:05 | ETA: 7:15:07
Epoch: 29/5000 | Train loss: 5.9005 | Val loss: 5.9038 | Best loss: 5.8935 | Time for epoch: 0:00:05 | ETA: 7:14:49
Epoch: 30/5000 | Train loss: 5.8989 | Val loss: 5.8926 | Best loss: 5.8926 | Time for epoch: 0:00:05 | ETA: 7:14:38
Epoch: 31/5000 | Train loss: 5.8934 | Val loss: 5.8902 | Best loss: 5.8902 | Time for epoch: 0:00:05 | ETA: 7:14:29
Epoch: 32/5000 | Train loss: 5.8916 | Val loss: 5.8857 | Best loss: 5.8857 | Time for epoch: 0:00:05 | ETA: 7:14:01
Epoch: 33/5000 | Train loss: 5.8898 | Val loss: 5.8810 | Best loss: 5.8810 | Time for epoch: 0:00:05 | ETA: 7:13:37
Epoch: 34/5000 | Train loss: 5.8896 | Val loss: 5.8973 | Best loss: 5.8810 | Time for epoch: 0:00:05 | ETA: 7:13:29
Epoch: 35/5000 | Train loss: 5.8888 | Val loss: 5.8890 | Best loss: 5.8810 | Time for epoch: 0:00:05 | ETA: 7:13:15
Epoch: 36/5000 | Train loss: 5.8882 | Val loss: 5.8844 | Best loss: 5.8810 | Time for epoch: 0:00:05 | ETA: 7:13:23
Epoch: 37/5000 | Train loss: 5.8868 | Val loss: 5.8705 | Best loss: 5.8705 | Time for epoch: 0:00:05 | ETA: 7:13:53
